district,dropout_rate,student_teacher_ratio,graduation_rate,literacy_rate,womens_education_rate
Bagerhat,11.43,21.9,86.41,72.5,74.98357076505616
Bandarban,14.59,27.9,71.6,68.2,67.50867849414408
Barguna,12.45,43.7,84.72,75.1,78.33844269050346
Barisal,11.35,18.4,77.15,81.3,88.91514928204012
Bhola,9.05,44.3,65.42,78.6,77.42923312638331
Bogra,13.27,18.4,71.93,79.4,78.2293152152541
Brahamanbaria,9.31,49.2,82.8,85.7,93.59606407753697
Chandpur,17.94,31.4,83.63,82.1,85.93717364576455
Chittagong,19.31,49.2,82.97,88.3,85.95262807032523
Chuadanga,8.29,36.2,86.13,84.9,87.61280021792983
Comilla,16.04,40.9,86.08,83.5,81.18291153593769
Cox's Bazar,11.05,16.4,77.26,76.8,74.47135123214872
Dhaka,10.5,24.9,95.86,92.7,93.90981135783018
Dinajpur,18.59,19.2,74.7,77.2,67.63359877671101
Faridpur,2.35,25.4,77.43,80.1,71.47541083743484
Feni,2.66,19.2,95.68,89.4,86.58856235379514
Gaibandha,1.38,26.1,92.25,85.6,80.53584439832788
Gazipur,16.82,29.5,88.16,87.9,89.47123666297638
Gopalganj,15.78,17.2,64.01,71.3,66.75987962239394
Habiganj,17.53,39.2,96.78,90.2,83.13848149332354
Jamalpur,19.59,34.8,88.57,82.4,89.72824384460777
Jessore,16.18,24.3,99.95,91.8,90.67111849756732
Jhalokati,9.77,33.3,65.98,73.1,73.43764102343961
Jhenaidah,15.83,18.3,94.73,88.6,81.4762590689327
Joypurhat,3.25,35.2,66.5,74.7,71.97808637737408
Khagrachhari,13.16,47.5,84.62,69.5,70.05461294854933
Khulna,3.72,26.1,64.95,86.2,80.44503211288848
Kishoreganj,18.95,38.4,93.92,84.1,85.97849009172836
Kurigram,10.92,19.6,92.29,78.9,75.89680655040598
Kushtia,8.88,40.1,82.76,85.3,83.84153125103362
Lakshmipur,6.03,25.1,76.29,79.7,76.69146693885301
Lalmonirhat,15.71,21.4,62.77,76.4,85.6613909225447
Madaripur,9.67,35.5,87.9,83.2,83.13251387631033
Magura,11.8,15.7,78.14,82.8,77.5114453552205
Manikganj,1.36,44.0,88.88,86.5,90.61272456051594
Maulvibazar,12.74,15.2,94.66,87.1,80.99578175014489
Meherpur,12.63,38.7,99.02,92.4,93.44431797502378
Munshiganj,12.72,24.5,94.23,89.7,79.90164938060113
Mymensingh,18.93,40.7,60.47,75.8,69.15906975550784
Naogaon,13.95,48.7,74.4,78.3,79.28430617934562
Narail,7.83,23.7,89.2,84.6,88.29233289997704
Narayanganj,9.3,35.2,66.87,88.9,89.75684140594986
Narsingdi,14.25,35.7,80.84,83.7,83.1217585880588
Natore,2.14,35.0,62.17,80.5,78.99448152205356
Nawabganj,13.67,22.8,68.0,77.6,70.20739004816286
Netrakona,13.74,48.3,60.74,72.9,69.30077895802646
Nilphamari,5.0,30.6,91.75,81.8,79.49680614520106
Noakhali,3.45,44.6,68.96,79.2,84.48561113109459
Pabna,6.99,39.5,73.81,82.3,84.01809144784231
Panchagarh,7.91,25.4,97.12,86.8,77.98479922318633
Patuakhali,11.83,43.5,88.18,80.4,82.02041984697398
Pirojpur,9.33,28.9,61.27,74.2,72.27458859791842
Rajbari,19.78,45.8,66.59,73.5,70.1153899984702
Rajshahi,2.94,35.3,84.86,87.4,90.45838144420435
Rangamati,4.97,45.9,83.09,70.1,75.25499761247976
Rangpur,4.06,39.2,69.52,79.8,84.45640059558099
Satkhira,13.41,40.4,97.37,89.1,84.9039123838868
Shariatpur,5.81,32.5,84.56,81.7,80.15393812074393
Sherpur,9.86,48.5,81.43,76.5,78.15631715701782
Sirajganj,5.64,37.5,83.6,83.9,88.7777256356118
Sunamganj,4.02,29.8,89.2,78.1,75.70412881077354
Sylhet,3.1,36.2,72.48,85.2,84.27170511668092
Tangail,13.47,15.7,75.93,82.6,77.06832512996985
Thakurgaon,3.63,25.6,68.39,80.9,74.91896687959665
